BlockName,Category,CreatedOn,Crop,DistrictName,KCCCallID,KccAns,QueryText,QueryType,Season,Sector,StateName,day,month,year
BHANDARA,Others,2025-01-16T16:50:59.237,Others,BHANDARA,3453582,"महोदय हवामान खात्याच्या अंदाजानुसार तुमचा जिल्हा  भंडारा ,तालुका भंडारा मध्ये पुढील ५ दिवसात पाऊस पडण्याची शक्यता नाही  ,तसेच वातावरण अंशतः ढगाळ राहील , सरासरी किमान तापमान २७ अंश सेल्सिअस व कमाल तापमान १९ अंश सेल्सिअस राहण्याची शक्यता आहे,आणि वाऱ्याचा वेग ताशी ४ किलोमीटर राहण्याची शक्यता आहे,हवामान विभागाच्या अंदाजानुसार तूर पिकाची काढणी करावी, हरभरा कीटकनाशकाची फवारणी,तणनाशकाचे फवारणी,सूक्ष्म अन्नद्रव्याचे फवारणी करावी.धन्यवाद !
",Farmer asked query on Weather,Weather,NA,AGRICULTURE,MAHARASHTRA,16,1,2025
MOHADI,Cereals,2025-01-21T10:41:39.243,Wheat,BHANDARA,3477098,"शेतकरी साहेब, गहू पिकातील दाण्यांची गुणवत्ता व वजन वाढीसाठी-
०० ०० ५० हे ७५ ग्रॅम + चिलेटेड मायक्रोनुट्रीएंट १५ ग्राम यांचे मिश्रण प्रति १५ लिटर पाण्यामध्ये घेऊन फवारावे. धन्यवाद","FAMRER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR INCREASING GRAIN WEIGHT & GRAIN QUALITY IN WHEAT CROP ?
",Nutrient Management,NA,AGRICULTURE,MAHARASHTRA,21,1,2025
LAKHANDUR,Others,2025-01-21T17:43:24.403,Others,BHANDARA,3477079,"--रूफटॉप सोलर योजनेसाठी आवश्यक कागदपत्रे :
अलीकडील वीज बिल
छताच्या मालकीचे प्रमाणपत्र
ओळखीचा पुरावा
पत्त्याचा पुरावा",farmer asked about documents for solar roof panel ?,Government Schemes,NA,AGRICULTURE,MAHARASHTRA,21,1,2025
TUMSAR,Others,2025-01-22T15:34:38.367,Others,BHANDARA,3481414,आपले प्रधानमंत्री किसान सन्मान निधीचे रजिस्ट्रेशन राज्य पातळीवर पेंडिंग ला आहे ते पूर्ण झाल्यानंतर आपल्याला हप्ते चालू होतील धन्यवाद,FARMER ASKED ABOUT STATUS OF  PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?,Government Schemes,NA,AGRICULTURE,MAHARASHTRA,22,1,2025
0   ,Others,2025-01-23T14:24:00.81,Others,BHANDARA,3486312,"प्रधानमंत्री किसान सन्मान निधी योजनेचे स्टेटस चेक केले असता , आपला फॉर्म रिजेक्ट झालेला आहे कारण ब्लर सातबारा दाखवत आहे .अधिक माहितीसाठी तालुका कृषी अधिकारी यांना भेट द्या धन्यवाद!","FARMER ASKED ABOUT STATUS OF INSTALLMENT IN PRADHANMANTRI KISAN SANMAN NIDHI YOJANA? 
",Government Schemes,NA,AGRICULTURE,MAHARASHTRA,23,1,2025
BHANDARA,Others,2025-01-30T12:28:06.683,Others,BHANDARA,3519855,ॲग्री स्टॅक अधिक माहितीसाठी हेल्पलाइन क्रमांक-020 25 712 712  या क्रमांकावर संपर्क करावा.धन्यवाद.,"ASKED ABOUT TOLLFREE NUMBER OF AGRI STACK?
",Government Schemes,NA,AGRICULTURE,MAHARASHTRA,30,1,2025
MOHADI,Others,2025-01-30T15:53:59.907,Others,BHANDARA,3519910,"नमस्कार सर पी एम किसान निधी योजनेचा आपला अर्ज तपासला असता,
अपलोड केलेले कागदपत्रे दृश्यमान नाहीत, कृपया दृश्यमान कागदपत्रे अपलोड करा. कृपया तुमचा स्व-नोंदणी फॉर्म अपडेट करा, ०१.०२.२०१९ रोजी किंवा त्यापूर्वीच्या तुमच्या स्वतःच्या जमिनीच्या मालकीची फेरफार (म्युटेशन लँड) आणि सध्याचे ७/१२ कागदपत्रे एकाच दृश्यमान मर्ज पीडीएफ फाइलमध्ये (<२०० केबी) अपलोड करा.या कारणास्तव रिजेक्ट झालेला आहे, तरी आपण सीएससी सेंटरला जाऊ आवश्यक कागदपत्रे अपलोड करावे धन्यवाद...!","FARMER ASKED ABOUT STATUS OF PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?
",Government Schemes,NA,AGRICULTURE,MAHARASHTRA,30,1,2025
PUSAD,Vegetables,2025-01-01T10:41:22.093,Chillies,YEVATMAL,3376396,नमस्कार मिरची पिकाची लागवड ६० बाय ६० सेंटीमीटर अंतरावर करावी तसेच खताची प्रथम मात्रा देताना हेक्टरी ५० किलो नत्र ५० किलो स्फुरद ५० किलो पालाश या प्रमाणात द्यावी. मिरची पिकाची लागवड करताना बुरशीनाशकाची अळवणी करावी धन्यवाद..!,Farmer asked about information of chilli?,Seeds and Planting Material,NA,HORTICULTURE,MAHARASHTRA,1,1,2025
BABHULGAON,Cereals,2025-01-01T14:25:43.96,Wheat,YEVATMAL,3376251,"२,४-डी (अमाईन सॉल्ट ५८ %) हे तणनाशक ४० मिली प्रति १५ लिटर पाण्यामध्ये घेऊन लागवडीनंतर/पेरणीनंतर २५ ते ३५ दिवसांत फवारावे. धन्यवाद..!
",FARMER ASKED ABOUT SPRAY FOR WEED CONTROL IN FLOWERING STAGE OF CROP ?,	Plant Protection	,NA,AGRICULTURE,MAHARASHTRA,1,1,2025
MAHAGAON,Vegetables,2025-01-03T09:00:35.86,Watermelon,YEVATMAL,3385507,"नमस्कार,टरबूज पिकातील रसशोषक कीड नियंत्रणासाठी-उल्लाला (फ्लॉनिकॅमिड ५०%WG ) हे कीटकनाशक ४ ग्रॅम प्रति १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. धन्यवाद..!","FARMER ASKED ABOUT HOW TO CONTROL OF SUCKING PEST (APPIDS, THRIPS) ATTACK ON WATERMON FRUIT CROP ?",	Plant Protection	,NA,HORTICULTURE,MAHARASHTRA,3,1,2025
RALEGAON,Others,2025-01-03T10:33:23.983,Others,YEVATMAL,3385477,"शेतकरी साहेब, पीएम किसान योजनेचा समोरील १९ व्या क्रमांकाचा हप्ता हा जानेवारी ते फेब्रुवारी महिन्यादरम्यान येऊ शकतो. निश्चित तारीख केंद्रसरकारने अजून जाहीर केलेली नाही. धन्यवाद..!
",FARMER ASKED ABOUT UPCOMING 19th INSTALLMENT DATE OF PM KISAN YOJANA ?,Government Schemes,NA,AGRICULTURE,MAHARASHTRA,3,1,2025
UMARKHED,Others,2025-01-03T10:57:00.337,Others,YEVATMAL,3385456,"शेतकरी साहेब, पी.एम.किसान योजनेचे आपले स्टेटस चेक केल्यावर ई-केवायसी पूर्ण झालेली दाखवत नाही, महा-ई-सेवा केंद्रामध्ये जाऊन ई-केवायसी प्रकिया पूर्ण करून घ्यावी. होत नसल्यास तालुका कृषी अधिकाऱ्यांकडे तक्रार अर्ज सादर करावा. धन्यवाद..!",FARMER ASKED ABOUT OM KISAN YOJNA INSTALLMENT?,Government Schemes,NA,AGRICULTURE,MAHARASHTRA,3,1,2025
UMARKHED,Pulses,2025-01-04T12:48:49.003,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),YEVATMAL,3389964," शेतकरी साहेब, हरभरा पिकाला घाटे पूर्णपणे लागल्यानंतर-
०० ५२ ३४ हे ६० ग्रॅम + मायक्रोला ३० मिली प्रति १५ लिटर पाण्यामधून फवारणी करावी. याचा फायदा घाट्यांमध्ये दाणे भरीव स्वरूपात भरतात. धन्यवाद..!
"," FAMRER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR POD DEVELOPMENT IN BENGAL GRAM CROP ?
",Nutrient Management,NA,AGRICULTURE,MAHARASHTRA,4,1,2025
UMARKHED,Pulses,2025-01-04T13:16:03.66,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),YEVATMAL,3389966,"नमस्कार शेतकरी साहेब, हरभरा पिकाविषयी अधिक माहिती करिता तसेच इतर महत्त्वपूर्ण माहिती करिता डॉ. पंजाबराव देशमुख कृषी विद्यापीठ, अकोला 
दूरध्वनी नंबर : ०७२४ २२५ ८३७२ 
वर संपर्क करून माहिती मिळवावी धन्यवाद. . . !
आपला दिवस शुभ असो.
","FARMER ASKED ABOUT HELPLINE NUMBER OF DR PANJABRAO DESHMUKH KRIHI VIDYAPEETH, AKOLA ?
",	Field Preparation	,NA,AGRICULTURE,MAHARASHTRA,4,1,2025
PUSAD,Pulses,2025-01-04T17:59:21.327,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),YEVATMAL,3390094,"शेतकरी साहेबा,
 ठिबक द्वारे एक ते दोन तास पाणी देऊ शकता जास्त पाणी कृपया देऊ नका फुलगळ होण्याची शक्यता असते",farmer asked about water managment in bengal crop?,	Water Management	,NA,AGRICULTURE,MAHARASHTRA,4,1,2025
PUSAD,Cereals,2025-01-04T18:02:04.5,Wheat,YEVATMAL,3390093,"00:52:34  ( मोनो पोटॅशिअम फॉस्फेट )- शेतकरी साहेब, आकार वाढवण्यासाठी- ०० ५२ ३४ हे विद्राव्य खत ८० ग्रॅम प्रति १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. धन्यवाद..!",FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY INCREASING POD ON WHEAT CROP?,Nutrient Management,NA,AGRICULTURE,MAHARASHTRA,4,1,2025
UMARKHED,Others,2025-01-05T17:37:33.6,Others,YEVATMAL,3394777,"शेतकरी साहेब, पीएम किसान योजनेशी संबंधित कोणत्याही तक्रारी किंवा समस्यांसाठी तहसील कार्यालयामध्ये नोडल अधिकारी (कृषी अधिकारी) यांच्याशी संपर्क साधावा किंवा पीएम-किसान हेल्पलाइन क्रमांक : 155261 / 011-24300606 या नंबर वरती संपर्क करावा. धन्यवाद..!
","FARMER ASKED ABOUT STATUS OF  INSTALLMENT IN PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?
",Government Schemes,NA,AGRICULTURE,MAHARASHTRA,5,1,2025
UMARKHED,Others,2025-01-05T18:14:27.227,Others,YEVATMAL,3394778,"शेतकरी साहेब, 
आपल्या भागातील शेती (कृषी) संबंधित नवनवीन योजनेच्या माहितीसाठी व त्यांचा लाभ किंवा अर्जाची स्थिती घेण्यासाठी स्थानिक कृषी कार्यालयात- तलाठी, कृषीसेवक यांच्याकडे जाऊन योग्य ती माहिती व मार्गदर्शन प्राप्त करावे. धन्यवाद..!
","FARMER ASKED HOW TO GET INFORMATION LATEST AGRICULTURAL SCHEME, SCHEME APPLICATION STATUS & THEIR BENEFITS ?
",Government Schemes,NA,AGRICULTURE,MAHARASHTRA,5,1,2025
ARNI,Others,2025-01-06T17:03:24.277,Others,YEVATMAL,3399454,"शेतकरी साहेब, पी.एम.किसान योजनेत आपल्या नोंदणीकृत नंबरचे स्टेटस तपासले असता. निधी हस्तांतरण ऑर्डर (FTO) प्रक्रिया अपूर्ण दाखवते. संबंधीत बँकेत जाऊन चौकशी करावी. ",FARMER ASKED ABOUT STATUS OF INSTALLMENT & HOW TO CLEAR  FTO PROBLEM IN PM KISAN YOJNA ?,Government Schemes,NA,AGRICULTURE,MAHARASHTRA,6,1,2025
UMARKHED,Others,2025-01-08T09:09:43.657,Others,YEVATMAL,3407807,"शेतकरी साहेब,
पी.एम.किसान योजनेची माहिती तपासण्याकरिता नोंदणी क्रमांक व रजिस्टर मोबाईल नंबर किंवा नंबर वरती आलेला ओटीपी सांगणे आवश्यक आहे. धन्यवाद..! 
","FARMER ASKED ABOUT STATUS OF  INSTALLMENT IN PRADHANMANTRI KISAN SANMAN NIDHI YOJANA ?
",Government Schemes,NA,AGRICULTURE,MAHARASHTRA,8,1,2025
MAHAGAON,Vegetables,2025-01-08T18:37:47.507,Watermelon,YEVATMAL,3407871,"१९ १९ १९ हे विद्राव्य खत ३ किलो + ह्यूमिक ऍसिड १ किलो प्रति एक एकरी आळवणी/ ठिबकद्वारे द्यावे. धन्यवाद..!
",FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH DRIP FOR GROWTH OF WATERMELON CROP ?,	Plant Protection	,NA,HORTICULTURE,MAHARASHTRA,8,1,2025
MAHAGAON,Sugar and Starch Crops,2025-01-10T08:45:21.697,Sugarcane (Noble Cane),YEVATMAL,3415739,महोदय उसाच्या जास्तीत जास्त फुटव्यासाठी 12 61 00- हे विद्राव्य खत -70 ग्रॅम प्रति 15 लिटर पाण्यामध्ये घेऊन फवारणी करावी धन्यवाद!,farmer asked about more branching in sugarcane ?,Nutrient Management,NA,AGRICULTURE,MAHARASHTRA,10,1,2025
MAHAGAON,Pulses,2025-01-11T06:54:00.287,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),YEVATMAL,3420351,"नमस्कार शेतकरी साहेब, 
हवामान विभागाच्या अंदाजानुसार यवतमाळ  जिल्यातील  महागाव   तालुक्याचा हवामान अंदाज येत्या पाच दिवसामध्ये वातावरणामध्ये पावसाची शक्यता वर्तवण्यात आलेली नाही .  हवामान अंशतः ढगाळ असेल सरासरी पाऊसमान ० मिलिमीटर असेल कमाल तापमान ३० अंश सेल्सिअस व किमान  तापमान १६ अंश सेल्सिअस असू शकते हवेमध्ये  कमाल आद्रता ८७ टक्के व असेल वाऱ्याचा ताशी वेग ७ किलोमीटर  असेल यानुसार आपण आपल्या  हरभरा  पिकाची कापणी  करू शकता. 
धन्यवाद . . !
",Farmer asked query on Weather,Weather,NA,AGRICULTURE,MAHARASHTRA,11,1,2025
MAHAGAON,Millets,2025-01-11T07:04:55.15,Sorghum (Jowar/Great Millet),YEVATMAL,3420442,"शेतकरी साहेब,
ज्वारी पिकातील पाने खाणाऱ्या,शेंग पोखरणाऱ्याअळीच्या नियंत्रणासाठी- 
प्रोक्लेम (इमामेक्टिन बेंझोट ५% SG) हे कीटकनाशक ७ ग्रॅम प्रति १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी. 
धन्यवाद..! ","FARMER ASKED ABOUT SPRAY FOR CONTROL OF LEAF EATING CATERPILAR, LEAF FOLDER CATERPILLAR ATTACK ON CROP ?
",	Plant Protection	,NA,AGRICULTURE,MAHARASHTRA,11,1,2025
KELAPUR,Others,2025-01-11T10:50:41.797,Others,YEVATMAL,3421528,"किसान सन्मान निधी योजनेची स्थिती तपासत असताना तांत्रिक अडचणीमुळे आपली स्थिती तपासता आली नाही धन्यवाद
","
Farmer asked about kisan sanman nidhi status ?",Government Schemes,NA,AGRICULTURE,MAHARASHTRA,11,1,2025
GHATANJI,Cereals,2025-01-11T12:37:55.943,Wheat,YEVATMAL,3422773,शेतकरी साहेब गहू पिकामध्ये विडमास व ओमेगा नावाचे तन नाशक एकत्र फवारू शकता धन्यवाद,FARMER ASKED ABOUT WHEAT WEEDCIDE?,Weed Management,NA,AGRICULTURE,MAHARASHTRA,11,1,2025
WANI,Fruits,2025-01-11T13:45:58.237,Lemon,YEVATMAL,3423410,लिंबू पिकामध्येअधिक फुटवा व फुलाच्या योग्य वाढीसाठी- १२ ६१ ०० हे विद्राव्य खत ७५ ग्रॅम + मायक्रोला ३० मिली प्रति १५ लिटर पाण्यामध्ये घेऊन फवारावे. धन्यवाद..!,"FARMER ASKED ABOUT USE OF NUTRIENT APPLICATION THROUGH SPRAY FOR MORE BRANCHING & FLOWER SETTING IN LEMON CROP ?
",Nutrient Management,NA,HORTICULTURE,MAHARASHTRA,11,1,2025
MAHAGAON,Vegetables,2025-01-11T14:10:11.157,Watermelon,YEVATMAL,3423479,कलिंगड पिकामध्ये आपण उलाला या रसशोषक कीटकनाशकाचे फवारणी प्रतिबंधात्मक म्हणून करू शकतात धन्यवाद,FARMER ASKED CAN SPRAY ULALA INSECTICIDE ON 16 DAY WATERMELON PLANTATION ?,	Plant Protection	,NA,HORTICULTURE,MAHARASHTRA,11,1,2025
DIGRAS,Millets,2025-01-11T14:27:27.52,Maize (Makka),YEVATMAL,3423484,"मका पिकावर 13 40 13 ,100 ग्रॅम प्रति पंधरा लिटर पाण्यातून खत फवारणी करा, धन्यवाद.",ASKED ABOUT NUTRIENT FOR MAIZE CROP ?,Nutrient Management,NA,AGRICULTURE,MAHARASHTRA,11,1,2025
PUSAD,Cereals,2025-01-11T14:56:41.61,Wheat,YEVATMAL,3424124,"यवतमाल, महाराष्ट्रासाठीचा हवामानाचा अंदाज असा आहेः-रविवार, 2025-01-12-कमाल तापमानः 31° से.-किमान तापमानः 16° से.-पाऊसः 0.0 मिमी.-वाऱ्याचा वेगः 8.00 किमी./ताशी (एनई)-कमाल सापेक्ष आर्द्रताः 61.0%-किमान सापेक्ष आर्द्रताः 36.0%-ढगांचे आवरणः स्वच्छ आकाश-सोमवार, 2025-01-13-कमाल तापमानः 31° से.-किमान तापमानः 15° से.-पाऊसः 0.0 मिमी.-वाऱ्याचा वेगः 8.00 किमी./ताशी (एनई)-कमाल सापेक्ष आर्द्रताः 40.0%-किमान सापेक्ष आर्द्रताः",Farmer asked query on Weather,	Plant Protection	,NA,AGRICULTURE,MAHARASHTRA,11,1,2025
PUSAD,Pulses,2025-01-11T15:41:34.04,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),YEVATMAL,3424098,"शेतकरी साहेब, जिरायत हरभरा क्षेत्रात एखादे पाणी देणे शक्य असेल तर हरभरा पिकाला फुले येऊ लागताच पाणी द्यावे. बागायत जमिनीत २० ते २५ दिवसांनी पहिले, ४५ ते ५० दिवसांनी दुसरे आणि ६५ ते ७० दिवसांनी तिसरे पाणी द्यावे. धन्यवाद..!
","FARMER ASKED ABOUT STAGES OF WATER MANAGEMENT IN BENGAL GRAM CROP ?
",Cultural Practices,NA,AGRICULTURE,MAHARASHTRA,11,1,2025
DARWHA,Pulses,2025-01-11T17:49:24.87,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),YEVATMAL,3425381,"इमामेक्टीन बेन्झोएट 5%SG ५  ग्रॅम  १५ लिटर पाण्यामध्ये घेऊन फवारणी करावी.
",farmer asked about attack of caterpillar on gram?,	Plant Protection	,NA,AGRICULTURE,MAHARASHTRA,11,1,2025
YAVATMAL,Others,2025-01-12T09:24:25.74,Others,YEVATMAL,3427304,"हवामान विभागाच्या अंदाजानुसार यवतमाळ   जिल्ह्यातील  यवतमाळ   तालुक्यात पुढील 5 दिवसात वातावरण स्वछ राहील,  पावसाची शक्‍यता नाही   . आजचे तापमान जास्तीत जास्त  ३०  अंश सेल्सिअस ,कमीत कमी १५  अंश सेल्सिअस , वाऱ्याचा वेग ७   किलोमीटर / तास, हवामान विभागाच्या अंदाजानुसार गहू पीक पाणी   व्यवस्थापन, खत व्यवस्थापन,  किडी रोग व्यवस्थापन , इतर शेती व्यवस्थापन  आदी नियोजन करावे धन्यवाद...! ",Farmer asked query on Weather,Weather,NA,AGRICULTURE,MAHARASHTRA,12,1,2025
MAHAGAON,Pulses,2025-01-12T09:24:48.747,Pigeon pea (red gram/arhar/tur),YEVATMAL,3427376,"हवामान विभागाच्या अंदाजानुसार आपला   यवतमाळ जिल्हा,महागाव तालुक्यात पुढील पाच दिवस वातावरण अंशतः ढगाळ राहील. तुरळक पावसाची शक्यता आहे /नाही,  सरासरी जास्तीत जास्त तापमान  ३१ अंश सेल्सिअस ,कमीत कमी तापमान   २२ अंश सेल्सिअस, वाऱ्याचा वेग ४ किलोमीटर प्रति तास. वरील हवामान अंदाज लक्षात घेऊन आपण तूर मळणी करावी 
 धन्यवाद.......
",Farmer asked query on Weather,Cultural Practices,NA,AGRICULTURE,MAHARASHTRA,12,1,2025
UMARKHED,Pulses,2025-01-12T10:27:34.03,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),YEVATMAL,3427319,हरभराच्या घाट्यांचा आकार वाढीसाठी ००:५२:३४-७५ ग्राम/१५लिटर पाण्यामध्ये घेऊन फवारणी करावी. धन्यवाद...!,FARMER ASKED ABOUT FERTILIZER SPRAY FOR INCREASE SIZE AND QUALITY OF GRAM PODS ?,Fertilizer Use and Availability,NA,AGRICULTURE,MAHARASHTRA,12,1,2025
KELAPUR,Others,2025-01-12T12:06:47.593,Others,YEVATMAL,3429610," प्रधानमंत्री किसान सन्मान निधी योजना विषयी अधिक माहिती हवी असल्यास तहसील कार्यालयामध्ये नोडल अधिकाऱ्यांशी संपर्क साधावा तसेच खालील क्रमांकावर ती संपर्क साधू शकता १५५२६१/०११२४३००६०६  शेतकरी कल्याण विभाग न: 91-11-23382401 ईमेल: pmkisan-hqrs@gov.in
","FARMER ASKED ABOUT PRADHANMANTRI KISAN SANMAN NIDHI YOJANA HELPLINE  NUMBER?
",Government Schemes,NA,AGRICULTURE,MAHARASHTRA,12,1,2025
DIGRAS,Pulses,2025-01-12T13:17:42.15,Pigeon pea (red gram/arhar/tur),YEVATMAL,3429688,"हवामान विभागाच्या अंदाजानुसार दिग्रस जिल्ह्यातील चिखली तालुक्यात हवामान अंदाज- वातावरण अंशतः ढगाळमय राहील पावसाची शक्यता नाही आहे. आजचे तापमान कमाल २४ तर किमान १६ अंश सेल्सियस, वाऱ्याचा वेग १४ कि.मी. हवामान विभागाच्या अंदाजानुसार आपण तूर पिकामध्ये कापणी काढणी नियोजन करू शकता. धन्यवाद..!
",Farmer asked query on Weather,Cultural Practices,NA,AGRICULTURE,MAHARASHTRA,12,1,2025
MAHAGAON,Pulses,2025-01-12T14:26:11.777,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),YEVATMAL,3429549,"नमस्कार सर हवामान अंदाज़ अनुसार यवतमाळ जिल्ह्यातील महागाव तालुक्यामध्ये या आठवड्यामध्ये वातावरण  ढगाळ राहील आणि पावसाची शक्यता नाही. आजचे तापमान  कमाल 31 अंश सेल्सियस आणि किमान 15 अंश सेल्सियस ,वाऱ्याचा वेग -ताशी 7 किलोमीटर आहे.हवामान अंदाजानुसार आपण हरभरा पिकात पेरणी, खत व्यवस्थापन, पीक संरक्षण, सिंचन आदी बाबींचे नियोजन करावे धन्यवाद  ",Farmer asked query on Weather,	Plant Protection	,NA,AGRICULTURE,MAHARASHTRA,12,1,2025
YAVATMAL,Cereals,2025-01-12T15:47:02.87,Wheat,YEVATMAL,3429562,हवामान विभागाच्या अंदाजानुसार परभणी जिल्ह्यातील परभणी तालुक्यात या आठवड्यात वातावरण ढगाळ राहील हलक्या स्वरूपाच्या पावसाची शक्यता आहे कमाल तापमान ३०  डिग्री सेल्सियस किमान तापमान १८  डिग्री सेल्सिअस वाऱ्याचा वेग १० किलोमीटर ताशीत सरासरी आद्रता ५५ % हवामान विभागाच्या अंदाजानुसार रब्बी पिकांसाठी पीक संरक्षण सिंचन आदी बाबींचे नियोजन करा धन्यवाद,Farmer asked query on Weather,Weather,NA,AGRICULTURE,MAHARASHTRA,12,1,2025
